feature,real_mean,real_std,original_mean,original_std,original_effect_size,calibrated_mean,calibrated_std,calibrated_effect_size,reduction_in_effect_size
phase_hist_bin_2,0.13308750092983246,0.08369471877813339,0.11703749746084213,0.042916469275951385,-0.24132438468745698,0.11703749746084213,0.042916469275951385,-0.24132438468745698,0.0
phase_hist_bin_3,0.12696562707424164,0.07270491123199463,0.1314687430858612,0.045623939484357834,0.07419363345944659,0.1314687430858612,0.045623939484357834,0.07419363345944659,0.0
phase_hist_bin_4,0.1138250008225441,0.06761255115270615,0.133200004696846,0.0460478700697422,0.33495252373832374,0.133200004696846,0.0460478700697422,0.33495252373832374,0.0
phase_hist_bin_5,0.1253187507390976,0.07053019106388092,0.11757812649011612,0.04385499283671379,-0.13180645425231205,0.11757812649011612,0.04385499283671379,-0.13180645425231205,0.0
phase_hist_bin_6,0.13248437643051147,0.08139029145240784,0.11737500131130219,0.04389277845621109,-0.23107564313624504,0.11737500131130219,0.04389277845621109,-0.23107564313624504,0.0
phase_hist_bin_7,0.12862500548362732,0.07208084315061569,0.13160938024520874,0.045467328280210495,0.049523638278013926,0.13160938024520874,0.045467328280210495,0.049523638278013926,0.0
instantaneous_frequency_mean,0.04062663018703461,0.11842270940542221,0.0010451964335516095,0.1313122659921646,-0.3165661362963697,0.0010451965499669313,0.1313122659921646,-0.3165661353652981,9.31071608700762e-10
instantaneous_frequency_variance,1.342472791671753,1.3540736436843872,2.240884780883789,0.793713390827179,0.8094957485467861,2.240884780883789,0.793713390827179,0.8094957485467861,0.0
c40_real,-0.022057196125388145,0.5073546171188354,-0.27245479822158813,0.5431278944015503,-0.47645255193238384,-0.27245479822158813,0.5431278944015503,-0.47645255193238384,0.0
c40_imag,-0.07914186269044876,0.4663407504558563,0.0023438469506800175,0.33582088351249695,0.20052820007141375,0.0023438476491719484,0.33582088351249695,0.2005282017903327,-1.718918951620907e-09
c40_magnitude,0.549597978591919,0.4237622618675232,0.5571110844612122,0.4142799973487854,0.01792898838927675,0.5571110844612122,0.4142799973487854,0.01792898838927675,0.0
autocorr_lag_1_real,0.5952358245849609,0.4187248647212982,0.4902079999446869,0.3969166576862335,-0.2574422703299155,0.4902079999446869,0.3969166576862335,-0.2574422703299155,0.0
autocorr_lag_1_imag,0.02339961938560009,0.05262278765439987,0.0006292011821642518,0.05112683027982712,-0.4389038059582829,0.0006292013567872345,0.05112683027982712,-0.43890380259239425,3.3658886233745022e-09
autocorr_lag_1_magnitude,0.6132389903068542,0.39609453082084656,0.5094018578529358,0.3754608631134033,-0.2690669302693766,0.5094018578529358,0.3754608631134033,-0.2690669302693766,0.0
autocorr_lag_2_real,0.5377454161643982,0.3946615755558014,0.45256543159484863,0.3702973425388336,-0.22259185401292875,0.45256543159484863,0.3702973425388336,-0.22259185401292875,0.0
autocorr_lag_2_imag,0.04509126767516136,0.07894227653741837,0.0005524201551452279,0.07396034896373749,-0.5822689330507546,0.0005524202133528888,0.07396034896373749,-0.5822689322897894,7.609651797579886e-10
autocorr_lag_2_magnitude,0.5631340146064758,0.36888083815574646,0.4750182032585144,0.34894660115242004,-0.24541233471857135,0.4750182032585144,0.34894660115242004,-0.24541233471857135,0.0
autocorr_lag_4_real,0.3701525628566742,0.2838071882724762,0.3180796504020691,0.27368515729904175,-0.18678043491590374,0.3180796504020691,0.27368515729904175,-0.18678043491590374,0.0
autocorr_lag_4_imag,0.07264942675828934,0.12267164885997772,0.0008752093999646604,0.11844836175441742,-0.5952488926276481,0.0008752092253416777,0.11844836175441742,-0.5952488940758581,-1.4482099963686323e-09
autocorr_lag_4_magnitude,0.41106483340263367,0.26250991225242615,0.35230880975723267,0.25688037276268005,-0.2262367015167611,0.35230880975723267,0.25688037276268005,-0.2262367015167611,0.0
autocorr_lag_8_real,-0.00022780981089454144,0.1500125527381897,-0.0007831098628230393,0.1823551058769226,-0.003325771623482375,-0.000783110037446022,0.1823550909757614,-0.0033257728314046824,-1.207922307316922e-09
autocorr_lag_8_imag,0.050344426184892654,0.13633517920970917,0.000609011622145772,0.14756353199481964,-0.3501006422239539,0.000609011622145772,0.14756353199481964,-0.3501006422239539,0.0
autocorr_lag_8_magnitude,0.17163865268230438,0.11902029812335968,0.18492263555526733,0.14433634281158447,0.10041917634978893,0.18492263555526733,0.14433634281158447,0.10041917634978893,0.0
autocorr_lag_16_real,7.254628872033209e-05,0.1514464169740677,0.0018235069001093507,0.18037569522857666,0.010513728902937777,0.001823507365770638,0.18037569522857666,0.010513731699023825,-2.7960860484593786e-09
