configuration,snr,accuracy,macro_f1
Mixed 10pct,-12,0.264,0.19656569109362776
Mixed 10pct,-10,0.3,0.25345717009960983
Mixed 10pct,-8,0.4026666666666667,0.3770283675189745
Mixed 10pct,-6,0.5026666666666667,0.474409858741614
Mixed 10pct,-4,0.6133333333333333,0.6018175259871663
Mixed 10pct,-2,0.692,0.6832270354224143
Mixed 10pct,0,0.7586666666666667,0.7434078486641382
Mixed 10pct,2,0.7866666666666666,0.7609406107567424
Mixed 10pct,4,0.8106666666666666,0.7870929814603441
Mixed 10pct,6,0.8133333333333334,0.7887264384118028
Mixed 10pct,8,0.8,0.7810049619310266
Mixed 10pct,10,0.792,0.7653682146723659
Mixed 10pct,12,0.7933333333333333,0.7703066727654916
Mixed 10pct,14,0.8053333333333333,0.7795356008812939
Mixed 10pct,16,0.7866666666666666,0.7554267922435862
Mixed 10pct,18,0.7973333333333333,0.770558872991613
Mixed 25pct,-20,0.18133333333333335,0.13034306195596518
Mixed 25pct,-18,0.20133333333333334,0.14791009372560043
Mixed 25pct,-16,0.19466666666666665,0.13487724358631106
Mixed 25pct,-14,0.20933333333333334,0.16251713643669408
Mixed 25pct,-12,0.25066666666666665,0.22747888502903266
Mixed 25pct,-10,0.31466666666666665,0.30423179720216126
Mixed 25pct,-8,0.42533333333333334,0.4272602756013436
Mixed 25pct,-6,0.5226666666666666,0.5104421927817618
Mixed 25pct,-4,0.5933333333333334,0.5912998178704888
Mixed 25pct,-2,0.7053333333333334,0.7036401583037727
Mixed 25pct,0,0.7453333333333333,0.7468110875849607
Mixed 25pct,2,0.7826666666666666,0.7798908585094161
Mixed 25pct,4,0.7746666666666666,0.7664967710866437
Mixed 25pct,6,0.788,0.7803673982490853
Mixed 25pct,8,0.7906666666666666,0.7849434478756848
Mixed 25pct,10,0.7786666666666666,0.7770633142414874
Mixed 25pct,12,0.7866666666666666,0.7823105598900632
Mixed 25pct,14,0.8106666666666666,0.8049272274711733
Mixed 25pct,16,0.764,0.757641434294253
Mixed 25pct,18,0.764,0.7599967539741632
Mixed 50pct,-20,0.184,0.12532095400034188
Mixed 50pct,-18,0.232,0.17572513627308148
Mixed 50pct,-16,0.29733333333333334,0.25545519383086895
Mixed 50pct,-14,0.412,0.33790583825842424
Mixed 50pct,-12,0.384,0.2896909881978159
Mixed 50pct,-10,0.2866666666666667,0.19691838787224647
Mixed 50pct,-8,0.232,0.1454998637180771
Mixed 50pct,-6,0.18,0.07232457217718824
Mixed 50pct,-4,0.164,0.06570230648856652
Mixed 50pct,-2,0.15866666666666668,0.06995508683260046
Mixed 50pct,0,0.22,0.19634072942316133
Mixed 50pct,2,0.3586666666666667,0.3266350539335379
Mixed 50pct,4,0.43066666666666664,0.397307918355438
Mixed 50pct,6,0.468,0.4237479185346483
Mixed 50pct,8,0.4746666666666667,0.43760703365216147
Mixed 50pct,10,0.4706666666666667,0.41950508637373646
Mixed 50pct,12,0.46,0.421270430074827
Mixed 50pct,14,0.4866666666666667,0.4422645376920217
Mixed 50pct,16,0.48533333333333334,0.4433831369386866
Mixed 50pct,18,0.48533333333333334,0.44790997922882125
Pretrain Finetune,-20,0.030666666666666665,0.025171305062550935
Pretrain Finetune,-18,0.10266666666666667,0.07018523847994226
Pretrain Finetune,-16,0.19466666666666665,0.10475405136904856
Pretrain Finetune,-14,0.22,0.14564153675930122
Pretrain Finetune,-12,0.27466666666666667,0.22054728503144633
Pretrain Finetune,-10,0.31733333333333336,0.2807410561060808
Pretrain Finetune,-8,0.38133333333333336,0.3456697652854564
Pretrain Finetune,-6,0.512,0.48169208169376426
Pretrain Finetune,-4,0.6506666666666666,0.6209564107770651
Pretrain Finetune,-2,0.7586666666666667,0.7553797133813971
Pretrain Finetune,0,0.8666666666666667,0.8656314447968129
Pretrain Finetune,2,0.916,0.9154404428490807
Pretrain Finetune,4,0.9213333333333333,0.9208040961564418
Pretrain Finetune,6,0.9173333333333333,0.916654496099684
Pretrain Finetune,8,0.9173333333333333,0.9167098730065352
Pretrain Finetune,10,0.9226666666666666,0.9222094808567055
Pretrain Finetune,12,0.9,0.898725346852314
Pretrain Finetune,14,0.9093333333333333,0.908476619251583
Pretrain Finetune,16,0.912,0.9103700319624751
Pretrain Finetune,18,0.9226666666666666,0.9220067221190386
Mixed 10pct Original,-20,0.17066666666666666,0.09096755878798243
Mixed 10pct Original,-18,0.18133333333333335,0.09732794019328982
Mixed 10pct Original,-16,0.19733333333333333,0.10574213331643609
Mixed 10pct Original,-14,0.20533333333333334,0.1159504240418151
Mixed 10pct Original,-12,0.28,0.23011179290355938
Mixed 10pct Original,-10,0.35733333333333334,0.33145338562905996
Mixed 10pct Original,-8,0.39466666666666667,0.3693522139078879
Mixed 10pct Original,-6,0.4026666666666667,0.343257903234505
Mixed 10pct Original,-4,0.42,0.37709037528426936
Mixed 10pct Original,-2,0.4786666666666667,0.4491547009442634
Mixed 10pct Original,0,0.5973333333333334,0.5458463303752212
Mixed 10pct Original,2,0.6293333333333333,0.5745274479684832
Mixed 10pct Original,4,0.644,0.5855130054123248
