class,feature,real_mean,synthetic_mean,difference
QAM16,instantaneous_frequency_mean,0.028309833258390427,0.0024342674296349287,-0.025875565828755498
QAM16,instantaneous_frequency_variance,1.2438174486160278,2.250669002532959,1.0068515539169312
QAM16,c40_real,-0.06717726588249207,-0.34876543283462524,-0.2815881669521332
QAM16,c40_imag,-0.05493917316198349,0.029613154008984566,0.08455232717096806
QAM16,c40_magnitude,0.48320066928863525,0.6082096099853516,0.1250089406967163
QAM16,autocorr_lag_1_real,0.6303282976150513,0.48922500014305115,-0.14110329747200012
QAM16,autocorr_lag_1_imag,0.02685181424021721,0.0010908368276432157,-0.025760977412573993
QAM16,autocorr_lag_1_magnitude,0.6418894529342651,0.5071893334388733,-0.13470011949539185
QAM16,autocorr_lag_2_real,0.570909321308136,0.452070027589798,-0.11883929371833801
QAM16,autocorr_lag_2_imag,0.04572690650820732,0.001551792025566101,-0.04417511448264122
QAM16,autocorr_lag_2_magnitude,0.5910815596580505,0.47435450553894043,-0.11672705411911011
QAM16,autocorr_lag_4_real,0.39433905482292175,0.3176325857639313,-0.07670646905899048
QAM16,autocorr_lag_4_imag,0.07239279896020889,0.007433295249938965,-0.06495950371026993
QAM16,autocorr_lag_4_magnitude,0.4352833926677704,0.35154736042022705,-0.08373603224754333
QAM16,autocorr_lag_8_real,0.00810870248824358,0.0015405400190502405,-0.006568162469193339
QAM16,autocorr_lag_8_imag,0.05312519147992134,-0.0014298617606982589,-0.0545550532406196
QAM16,autocorr_lag_8_magnitude,0.18014907836914062,0.18160919845104218,0.0014601200819015503
QAM16,autocorr_lag_16_real,-0.00166690640617162,0.009811590425670147,0.011478496831841767
QAM16,autocorr_lag_16_imag,-0.008866843767464161,-0.009154029190540314,-0.0002871854230761528
QAM16,autocorr_lag_16_magnitude,0.18103525042533875,0.17735591530799866,-0.003679335117340088
QAM64,amplitude_mean,0.0078125,0.7242879867553711,0.7164754867553711
QAM64,amplitude_variance,1.3340162695385516e-05,0.3095269799232483,0.3095136397605529
QAM64,amplitude_kurtosis,-0.31661340594291687,-0.22009985148906708,0.09651355445384979
QAM64,amplitude_peak_to_average_ratio,3.9631848335266113,5.536660194396973,1.5734753608703613
QAM64,phase_variance,3.196467876434326,3.221306562423706,0.024838685989379883
QAM64,phase_difference_mean,0.03356810659170151,-0.0007737083360552788,-0.034341814927756786
QAM64,phase_difference_variance,1.0296149253845215,2.242492914199829,1.2128779888153076
QAM64,phase_difference_kurtosis,7.171462535858154,-0.19703516364097595,-7.36849769949913
QAM64,phase_hist_bin_0,0.12389062345027924,0.12540625035762787,0.0015156269073486328
QAM64,phase_hist_bin_1,0.1276250034570694,0.12470312416553497,-0.002921879291534424
QAM64,phase_hist_bin_2,0.11962500214576721,0.12414062768220901,0.004515625536441803
QAM64,phase_hist_bin_3,0.13301561772823334,0.12592187523841858,-0.007093742489814758
QAM64,phase_hist_bin_4,0.12064062803983688,0.1249687522649765,0.004328124225139618
QAM64,phase_hist_bin_5,0.12639062106609344,0.12357812374830246,-0.002812497317790985
QAM64,phase_hist_bin_6,0.11900000274181366,0.12648437917232513,0.007484376430511475
QAM64,phase_hist_bin_7,0.12981249392032623,0.12479687482118607,-0.005015619099140167
QAM64,instantaneous_frequency_mean,0.03356810659170151,-0.0007737083360552788,-0.034341814927756786
QAM64,instantaneous_frequency_variance,1.0296149253845215,2.242492914199829,1.2128779888153076
QAM64,c40_real,-0.045730337500572205,-0.30299851298332214,-0.25726817548274994
QAM64,c40_imag,-0.11383462697267532,-0.032876983284950256,0.08095764368772507
QAM64,c40_magnitude,0.4831848740577698,0.6422412395477295,0.15905636548995972
QAM64,autocorr_lag_1_real,0.6993138194084167,0.4896527826786041,-0.20966103672981262
QAM64,autocorr_lag_1_imag,0.02686825580894947,-0.001107752788811922,-0.027976008597761393
QAM64,autocorr_lag_1_magnitude,0.7116132378578186,0.508152186870575,-0.20346105098724365
QAM64,autocorr_lag_2_real,0.633511483669281,0.452501118183136,-0.18101036548614502
QAM64,autocorr_lag_2_imag,0.05124266445636749,4.661989078158513e-05,-0.05119604456558591
QAM64,autocorr_lag_2_magnitude,0.6520599722862244,0.4760547876358032,-0.17600518465042114
QAM64,autocorr_lag_4_real,0.4374667704105377,0.3143427073955536,-0.12312406301498413
QAM64,autocorr_lag_4_imag,0.08017482608556747,-0.0070034172385931015,-0.08717824332416058
QAM64,autocorr_lag_4_magnitude,0.47137194871902466,0.35097870230674744,-0.12039324641227722
QAM64,autocorr_lag_8_real,-0.001214560936205089,-0.010295223444700241,-0.009080662508495152
QAM64,autocorr_lag_8_imag,0.05266813561320305,-0.0036256813909858465,-0.056293817004188895
QAM64,autocorr_lag_8_magnitude,0.18928810954093933,0.18691155314445496,-0.002376556396484375
QAM64,autocorr_lag_16_real,-0.0016889713006094098,-0.005008732434362173,-0.0033197611337527633
QAM64,autocorr_lag_16_imag,-0.00908964965492487,0.007924540899693966,0.017014190554618835
QAM64,autocorr_lag_16_magnitude,0.18142957985401154,0.18745046854019165,0.006020888686180115
