feature,real_mean,real_std,original_mean,original_std,original_effect_size,calibrated_mean,calibrated_std,calibrated_effect_size,refined_mean,refined_std,refined_effect_size,net_mismatch_reduction
phase_difference_mean,0.04062663018703461,0.11842270940542221,0.0010451964335516095,0.1313122659921646,-0.3165661362963697,0.0010451965499669313,0.1313122659921646,-0.3165661353652981,-0.003342953510582447,0.1316300332546234,-0.35119294175360716,-0.03462680545723745
instantaneous_frequency_mean,0.04062663018703461,0.11842270940542221,0.0010451964335516095,0.1313122659921646,-0.3165661362963697,0.0010451965499669313,0.1313122659921646,-0.3165661353652981,-0.003342953510582447,0.1316300332546234,-0.35119294175360716,-0.03462680545723745
phase_hist_bin_4,0.1138250008225441,0.06761255115270615,0.133200004696846,0.0460478700697422,0.33495252373832374,0.133200004696846,0.0460478700697422,0.33495252373832374,0.13220000267028809,0.05088058486580849,0.3070980409192903,0.02785448281903341
autocorr_lag_1_magnitude,0.6132389903068542,0.39609453082084656,0.5094018578529358,0.3754608631134033,-0.2690669302693766,0.5094018578529358,0.3754608631134033,-0.2690669302693766,0.5102042555809021,0.3752046227455139,-0.2670739735741473,0.0019929566952293087
autocorr_lag_1_real,0.5952358245849609,0.4187248647212982,0.4902079999446869,0.3969166576862335,-0.2574422703299155,0.4902079999446869,0.3969166576862335,-0.2574422703299155,0.4916214942932129,0.39592671394348145,-0.2542774918893057,0.0031647784406098056
autocorr_lag_2_magnitude,0.5631340146064758,0.36888083815574646,0.4750182032585144,0.34894660115242004,-0.24541233471857135,0.4750182032585144,0.34894660115242004,-0.24541233471857135,0.4754008650779724,0.3491528034210205,-0.24427839847967214,0.001133936238899208
phase_hist_bin_0,0.11808124929666519,0.06610894948244095,0.1333281248807907,0.04631280153989792,0.267134314189871,0.1333281248807907,0.04631280153989792,0.267134314189871,0.13238124549388885,0.050562839955091476,0.2429844643778219,0.024149849812049096
phase_variance,3.1422324180603027,0.5714932680130005,3.2907464504241943,0.5221342444419861,0.27132272814242037,3.2907464504241943,0.5221342444419861,0.27132272814242037,3.269300699234009,0.48873183131217957,0.23897359574417895,0.032349132398241415
phase_hist_bin_2,0.13308750092983246,0.08369471877813339,0.11703749746084213,0.042916469275951385,-0.24132438468745698,0.11703749746084213,0.042916469275951385,-0.24132438468745698,0.11754374951124191,0.044536128640174866,-0.2318636740770379,0.009460710610419087
autocorr_lag_2_real,0.5377454161643982,0.3946615755558014,0.45256543159484863,0.3702973425388336,-0.22259185401292875,0.45256543159484863,0.3702973425388336,-0.22259185401292875,0.4541706144809723,0.3692187964916229,-0.21869519143939584,0.003896662573532911
autocorr_lag_4_magnitude,0.41106483340263367,0.26250991225242615,0.35230880975723267,0.25688037276268005,-0.2262367015167611,0.35230880975723267,0.25688037276268005,-0.2262367015167611,0.3545699715614319,0.2576071321964264,-0.2172293812102433,0.009007320306517796
phase_hist_bin_6,0.13248437643051147,0.08139029145240784,0.11737500131130219,0.04389277845621109,-0.23107564313624504,0.11737500131130219,0.04389277845621109,-0.23107564313624504,0.11843124777078629,0.045005057007074356,-0.21368995595843004,0.017385687177814996
c40_imag,-0.07914186269044876,0.4663407504558563,0.0023438469506800175,0.33582088351249695,0.20052820007141375,0.0023438476491719484,0.33582088351249695,0.2005282017903327,0.006277294363826513,0.3893349766731262,0.19884949138609703,0.001678708685316721
autocorr_lag_4_real,0.3701525628566742,0.2838071882724762,0.3180796504020691,0.27368515729904175,-0.18678043491590374,0.3180796504020691,0.27368515729904175,-0.18678043491590374,0.31992602348327637,0.2747063636779785,-0.1798340338180425,0.006946401097861238
phase_hist_bin_5,0.1253187507390976,0.07053019106388092,0.11757812649011612,0.04385499283671379,-0.13180645425231205,0.11757812649011612,0.04385499283671379,-0.13180645425231205,0.11724375188350677,0.044388167560100555,-0.13703359403506107,-0.005227139782749024
autocorr_lag_16_magnitude,0.1658952832221985,0.11495369672775269,0.18288291990756989,0.14244972169399261,0.13124563862245026,0.18288291990756989,0.14244972169399261,0.13124563862245026,0.18092234432697296,0.14276285469532013,0.11594391010472435,0.015301728517725904
autocorr_lag_8_magnitude,0.17163865268230438,0.11902029812335968,0.18492263555526733,0.14433634281158447,0.10041917634978893,0.18492263555526733,0.14433634281158447,0.10041917634978893,0.18419939279556274,0.1441265344619751,0.09503408687822665,0.005385089471562285
phase_hist_bin_3,0.12696562707424164,0.07270491123199463,0.1314687430858612,0.045623939484357834,0.07419363345944659,0.1314687430858612,0.045623939484357834,0.07419363345944659,0.1325281262397766,0.05107336491346359,0.08853659905040392,-0.014342965590957338
autocorr_lag_16_imag,-0.01130578201264143,0.13293516635894775,-0.0004431969136931002,0.1455993503332138,0.07791762831786068,-0.0004431972047314048,0.1455993503332138,0.07791762623023474,2.2843360056867823e-05,0.14507582783699036,0.081420079482853,-0.003502451164992315
phase_hist_bin_1,0.12161249667406082,0.06915823370218277,0.1184031218290329,0.04401550814509392,-0.05536604322193321,0.1184031218290329,0.04401550814509392,-0.05536604322193321,0.11819375306367874,0.045499756932258606,-0.058403426948306546,-0.003037383726373334
phase_hist_bin_7,0.12862500548362732,0.07208084315061569,0.13160938024520874,0.045467328280210495,0.049523638278013926,0.13160938024520874,0.045467328280210495,0.049523638278013926,0.13147813081741333,0.0512419156730175,0.045624077438194896,0.00389956083981903
autocorr_lag_8_real,-0.00022780981089454144,0.1500125527381897,-0.0007831098628230393,0.1823551058769226,-0.003325771623482375,-0.000783110037446022,0.1823550909757614,-0.0033257728314046824,0.002431156812235713,0.18148469924926758,0.015970350974137314,-0.012644579350654939
c40_magnitude,0.549597978591919,0.4237622618675232,0.5571110844612122,0.4142799973487854,0.01792898838927675,0.5571110844612122,0.4142799973487854,0.01792898838927675,0.555246114730835,0.39969655871391296,0.013712223285350399,0.004216765103926351
autocorr_lag_16_real,7.254628872033209e-05,0.1514464169740677,0.0018235069001093507,0.18037569522857666,0.010513728902937777,0.001823507365770638,0.18037569522857666,0.010513731699023825,0.0015058128628879786,0.17906664311885834,0.008642853452118288,0.0018708754508194887
